Contract Year,Sample ID,Population,Type,Date collected,Subsp.,Sex,Processed?,Extracted Sample Location,Sample Plate,Backup Sample in Lysis?,Leftover of Original Sample?,Sample Location,,,,,,,,,,,,,
2022/2023 - Optimization,88,Hay Zama,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,89,Hay Zama,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,90,Hay Zama,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,92,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,95,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,96,Hay Zama,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,98,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,100,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,135,Hay Zama,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,136,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,154,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,155,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,170,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,174,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,177,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,178,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,180,Hay Zama,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,186,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,190,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,192,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,220,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,221,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,227,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,235,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,236,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,269,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,346,Hay Zama,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2161,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2162,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2163,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2165,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2166,Mackenzie,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2171,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2176,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2177,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2182,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2187,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2188,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2190,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2196,Mackenzie,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2198,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2272,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2276,Mackenzie,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2277,Mackenzie,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2283,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2289,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2295,Mackenzie,DNA,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2296,Mackenzie,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,2310,Mackenzie,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-01,Wentzel,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-02,Wentzel,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-04,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-05,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-06,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-08,Wentzel,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-10,Wentzel,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,11-11,Wentzel,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-01,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-02,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-03,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-05,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-06,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-07,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-08,Wabasca,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-09,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-10,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-11,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-12,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-13,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-14,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-14B,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-15,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-16,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-17,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-17B,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-18,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-19,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,12-19B,Ronald Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,151_410,Hay Zama,hair,1-Apr-20,Wood Bison,,Y,,2022/2023 plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,31 GP2,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,33 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,34 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,35 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,36 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,39 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,4 GP1,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,40 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,42 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,43 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,44 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,45 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,46 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,47 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,48 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,49 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,5 GP1,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,50 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,51 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,52 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,53 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,54 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,55 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,56 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,58 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,59 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,6 GP1,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,60 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,61 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,62 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,63 GP3,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,65 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,66 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,67 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,68 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,7 GP1,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,70 GP5 ,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,71 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,72 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,73 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,74 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,75 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,77 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,78 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,79 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,8 GP1,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,80 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,81 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,82 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,83 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,84 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,85 GP5,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,9 GP1,Etthithun,fecal swab,,Wood Bison,,Y,Bison Optimization Box 1,2022/2023 Mark Ball Fecal Swab Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,Chinchaga 1,Chinchaga,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,Chinchaga 2,Chinchaga,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,Rainbow Lake 1,Rainbow Lake,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023 - Optimization,ronald lake fetus,AB?,DNA,,Wood Bison,,Y,,2022/2023 Mark Ball DNA Plate?,,,,,,,,,,,,,,,,
2022/2023/2024,BSN-08,WBNP,Ear,1/1/2016,Wood,F,Y,2023/2024 Contract Box 2,2023/2024 Contract Plate 4,N,Full ear ,Chest Freezer,,,,,,,,,,,,,
2022/2023/2024,BSN-43,WBNP,Ear,23/11/2017,Wood,F,Y,2023/2024 Contract Box 2,2023/2024 Contract Plate 4,N,Full ear ,Chest Freezer,,,,,,,,,,,,,
2022/2023/2024,BSN-47,WBNP,Ear,9/4/2018,Wood,F,Y,2023/2024 Contract Box 2,2023/2024 Contract Plate 4,N,Full ear ,Chest Freezer,,,,,,,,,,,,,
2023/2024,1927,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1929,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1930,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1931,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1932,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1933,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1934,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1935,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1936,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1939,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1940,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1941,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1945,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1947,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1949,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1950,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1959,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1960,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1962,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1964,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1965,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1966,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1967,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2023/2024,1969,Grasslands National Park,hair,2023,,,Y,2023/2024 Contract Box 1,2023/2024 Contract Plate 2,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
