Kit #,Sample name,Description,Contact,Date received at LeRDC/Sherbrooke,Condition on Arrival,Sample temperature,Bison Sex,Age,Bison Herd,Area,Bison subspecies,Date of Collection,Location (GPS?),Notes,date of gDNA extraction,DNA/Sample sent to Trent,Metagenomic,5 mL tube,2 mL tube,Ziploc,Comments,,1
985,EINP-985-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~12-13 yrs,Elk Island National Park,Elk Island National Park,Wood,7/10/2023,"53.55995, -112.8479",WB0030,3/12/2024,,,,,,,,2
986,EINP-986-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~10 yrs,Elk Island National Park,Elk Island National Park,Wood,7/10/2023,"53.5608, -112.8527",WB0031,3/12/2024,,,,,,,,
987,EINP-987-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~15 yrs,Elk Island National Park,Elk Island National Park,Wood,7/10/2023,"53.5598, -112.8522",WB0032,3/12/2024,,,,,,,,
988,EINP-988-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~10-12 yrs,Elk Island National Park,Elk Island National Park,Wood,7/10/2023,"53.5598, -112.8510",WB0033,3/12/2024,,,,,,,,
989,EINP-989-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~10 yrs,Elk Island National Park,Elk Island National Park,Wood,7/11/2023,"53.5682, -112.9430",WB0010,3/12/2024,,,,,,,,
990,EINP-990-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~10 yrs,Elk Island National Park,Elk Island National Park,Wood,7/11/2023,"53.5231, -112.9343",WB0011,3/12/2024,,,,,,,,
991,EINP-991-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~10 yrs,Elk Island National Park,Elk Island National Park,Wood,7/11/2023,"53.5241, -112.9333",WB0012,3/12/2024,,,,,,,,
992,EINP-992-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~8 yrs,Elk Island National Park,Elk Island National Park,Wood,7/11/2023,"53.5120, -112.8600",WB0013,3/12/2024,,,,,,,,
993,EINP-993-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~8 yrs,Elk Island National Park,Elk Island National Park,Wood,7/12/2023,"53.5653, -112.9028",WB0014,3/12/2024,,,,,,,,
994,EINP-994-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,8-10 yrs,Elk Island National Park,Elk Island National Park,Wood,7/12/2023,"53.5682, -112.9413",WB0015,3/12/2024,,,,,,,,
995,EINP-995-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~8 yrs,Elk Island National Park,Elk Island National Park,Wood,7/12/2023,"53.5259, -112.9502",WB0016,3/12/2024,,,,,,,,
996,EINP-996-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~14 yrs,Elk Island National Park,Elk Island National Park,Wood,7/12/2023,"53.5602, -112.8493",WB0034,3/12/2024,,,,,,,,
997,EINP-997-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,,Elk Island National Park,Elk Island National Park,Wood,7/12/2023,"53.5606, -112.8511",WB0035,3/12/2024,,,,,,,,
998,EINP-998-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~9 yrs,Elk Island National Park,Elk Island National Park,Wood,7/12/2023,"53.5221, -112.9347",WB0017,3/12/2024,,,,,,,,
999,EINP-999-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~6 yrs,Elk Island National Park,Elk Island National Park,Wood,7/13/2023,"53.5705, -112.8533",WB0018,3/12/2024,,,,,,,,
PB0001,EINP-PB0001-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,Warm,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/2/2022,53.58206N 112.82095W,"Fresh fecal from the ground, unsure if it is from the animal darted",10/7/2022,11/16/2022,1/11/2023,x,,x,,,
PB0002,EINP-PB0002-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/2/2022,53.58454N 112.82098W,PB0002,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
PB0003,EINP-PB0003-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/2/2022,53.58954N 112.82957W,PB0003,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
PB0004,EINP-PB0004-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/2/2022,53.59207N 112.82817W,PB0004,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
PB0005,EINP-PB0005-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/2/2022,53.59166N 112.82855W,PB0005,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
PB0006,EINP-PB0006-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/3/2022,53.59098N 112.83263W,PB0006,10/25/2022,11/16/2022,1/11/2023,x,,x,,,
PB0007,EINP-PB0007-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/3/2022,53.59323N 112.83080W,PB0007,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
PB0008,EINP-PB0008-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Plains,8/3/2022,53.59206N 112.82750W,PB0008,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
WB0001,EINP-WB0001-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Wood,8/4/2022,53.56941N 112.85281W,WB0001,10/25/2022,11/16/2022,1/11/2023,x,,x,,,
WB0002,EINP-WB0002-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Wood,8/4/2022,53.56047N 112.84963W,WB0002 Estimated GPS location,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
WB0003,EINP-WB0003-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Wood,8/4/2022,53.561255N 112.849642W,WB0003 Estimated GPS location,10/5/2022,11/16/2022,1/11/2023,x,,x,,,
WB0005,EINP-WB0005-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Male,NA,Elk Island National Park,Elk Island National Park,Wood,8/4/2022,53.56064N 112.94953W,WB0005 Estimated GPS location,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
WB0006,EINP-WB0006-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Female,NA,Elk Island National Park,Elk Island National Park,Wood,8/5/2022,53.56064N 112.94953W,WB0006,10/5/2022,11/16/2022,1/11/2023,x,,x,,,
WB0007,EINP-WB0007-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Female,NA,Elk Island National Park,Elk Island National Park,Wood,8/5/2022,53.56096N 112.85300W,WB0007,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
WB0008,EINP-WB0008-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Female,NA,Elk Island National Park,Elk Island National Park,Wood,8/5/2022,53.56063N 112.84741W,WB0008,10/25/2022,11/16/2022,1/11/2023,x,,x,,,
WB0009,EINP-WB0009-Fe,Fecal,Jonathan Demoor,8/16/2022,Frozen,NA,Female,NA,Elk Island National Park,Elk Island National Park,Wood,8/5/2022,53.56074N 112.84751W,WB0009,10/7/2022,11/16/2022,1/11/2023,x,,x,,,
391,MAN-391-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 36.337  W099 32.469,Photo # 7,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
392,MAN-392-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Cold,NA,Yearling,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 36.337  W099 32.469,Photo # 7,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
393,MAN-393-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 36.337  W099 32.469,Photo # 7,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
394,MAN-394-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 34.772 W099 33.138,Photo #6,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
395,MAN-395-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Warm,NA,Yearling,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 36.337  W099 32.469,Photo # 7,1/30/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
396,MAN-396-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 34.772 W099 33.138,Photo #6,1/30/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
397,MAN-397-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 34.772 W099 33.138,Photo #6,1/30/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
398,MAN-398-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 34.772 W099 33.138,Photo #6,1/30/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
399,MAN-399-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 24 09 W099 26 39,Photo #4,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
400,MAN-400-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 34.772 W099 33.138,Photo #6,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
401,MAN-401-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Warm,NA,Yearling,Chitek Lake Wood Bison ,Manitoba,Wood,2/24/2023,N52 36.337  W099 32.469,Photo # 7,4/9/2024,,,,,,Need to be sent to Trent ,,
402,MAN-402-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 24 09 W099 26 39,Photo #4,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
403,MAN-403-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 32 W099 27 36,Photo #5,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
404,MAN-404-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 32 W099 27 36,Photo #5,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
405,MAN-405-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,Adult,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23 11  W099 27 38,Photo #3,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
406,MAN-406-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,Adult,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23 11  W099 27 38,Photo #3,11/7/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
407,MAN-407-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,Adult,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23 11  W099 27 38,Photo #3,1/30/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
408,MAN-408-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,Adult,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23 11  W099 27 38,Photo #3,1/30/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
409,MAN-409-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,Adult,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23 11  W099 27 38,Photo #3,11/9/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
410,MAN-410-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23.983 W099 21.486,Photo #2,11/9/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
411,MAN-411-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 32 W099 27 36,Photo #5,11/9/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
412,MAN-412-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23.983 W099 21.846,Photo #2,11/9/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
413,MAN-413-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23.983 W099 21.846,Photo #2,11/9/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
414,MAN-414-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23.983 W099 21.846,Photo #2,11/9/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
415,MAN-415-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 23.983 W099 21.846,Photo #2,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
416,MAN-416-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,Frozen,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 .741 W099 22.327,Photo #1,11/14/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
417,MAN-417-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 .741 W099 22.327,Photo #1,11/14/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
418,MAN-418-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 .741 W099 22.327,Photo #1,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
419,MAN-419-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 .741 W099 22.327,Photo #1,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
420,MAN-420-Fe,Fecal,Brian Joynt,3/14/2023,Frozen,NA,NA,NA,Chitek Lake Wood Bison ,Manitoba,Wood,2/23/2023,N52 26 .741 W099 22.327,Photo #1,11/14/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
1452,NAB-1452-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/11/2023,"59,101459, --118,638574",7,9/27/2024,,,,,,Subsampled (2024-09-20),,
1453,NAB-1453-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/11/2023,"59,101841, -118.606069",8,9/27/2024,,,,,,Subsampled (2024-09-20),,
1454,NAB-1454-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/11/2023,"59,101466, -118.641158",9,9/27/2024,,,,,,Subsampled (2024-09-20),,
1455,NAB-1455-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/11/2023,"59,085491, -118.674323",10,9/27/2024,,,,,,Subsampled (2024-09-20),,
1456,NAB-1456-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/17/2023,"59,068718, -118.803502",11,9/27/2024,,,,,,Subsampled (2024-09-20),,
1457,NAB-1457-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/12/2023,"58,686191, -118.976434",13,9/27/2024,,,,,,Subsampled (2024-09-20),,
1458,NAB-1458-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/12/2023,"58,67923, -118.984898",14,9/27/2024,,,,,,Subsampled (2024-09-20),,
1459,NAB-1459-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/13/2023,"58,772914, -118.720345",15,9/27/2024,,,,,,Subsampled (2024-09-20),,
1460,NAB-1460-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/13/2023,"58,785696, -118.718842",16,9/27/2024,,,,,,Subsampled (2024-09-20),,
1461,NAB-1461-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/13/2023,"58,775904, -118.606430",17,9/27/2024,,,,,,Subsampled (2024-09-20),,
1462,NAB-1462-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/13/2023,"58,775769, -118.611105",18,9/27/2024,,,,,,Subsampled (2024-09-20),,
1463,NAB-1463-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/17/2023,"58,961307, -118.449887",19,9/27/2024,,,,,,Subsampled (2024-09-20),,
1464,NAB-1464-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,11/17/2023,"58,967753, -118.449831",20,9/27/2024,,,,,,Subsampled (2024-09-20),,
1465,NAB-1465-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/6/2023,"59,111094, -118.499334",21,9/27/2024,,,,,,Subsampled (2024-09-20),,
1466,NAB-1466-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/6/2023,"59,064164, -118.868768",22,9/27/2024,,,,,,Subsampled (2024-09-20),,
1467,NAB-1467-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/6/2023,"59,06255, -118.868446",23,9/27/2024,,,,,,Subsampled (2024-09-20),,
1468,NAB-1468-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/6/2023,"59,036814, -118.883235",24,9/27/2024,,,,,,Subsampled (2024-09-20),,
1469,NAB-1469-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/8/2023,"59,208573, -118.739634",25,9/27/2024,,,,,,Subsampled (2024-09-20),,
1470,NAB-1470-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/8/2023,"59,208532, -118.741060",26,9/27/2024,,,,,,Subsampled (2024-09-20),,
1471,NAB-1471-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/8/2023,"59,208012, -118.739229",27,9/27/2024,,,,,,Subsampled (2024-09-20),,
1472,NAB-1472-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/10/2023,"59,20088, -118.815227",29,9/27/2024,,,,,,Subsampled (2024-09-20),,
1473,NAB-1473-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/10/2023,"59,201067, -118.813818",30,9/27/2024,,,,,,Subsampled (2024-09-20),,
1474,NAB-1474-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/18/2023,"59,10187, -118.641835",31,10/2/2024,,,,,,Subsampled (2024-09-20),,
1475,NAB-1475-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/18/2023,"59,101641, -118.630125",32,10/2/2024,,,,,,Subsampled (2024-09-20),,
1476,NAB-1476-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/18/2023,"59,091193, -118.578352",33,10/2/2024,,,,,,Subsampled (2024-09-20),,
1477,NAB-1477-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/18/2023,"59,042509, -118.543956",34,10/2/2024,,,,,,Subsampled (2024-09-20),,
1478,NAB-1478-ru,Rumen,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/18/2023,"59,081623, -118.581313",35,11/7/2024,,,,,,Subsampled (2024-09-20),,
1479,NAB-1479-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/18/2023,"59,083071, -118.576293",37,10/2/2024,,,,,,Subsampled (2024-09-20),,
1480,NAB-1480-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/19/2023,"59,15337, -118.706621",38,10/2/2024,,,,,,Subsampled (2024-09-20),,
1481,NAB-1481-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/19/2023,"59,113401, -118.566285",39,9/27/2024,,,,,,Subsampled (2024-09-20),,
1482,NAB-1482-fe,Fecal,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/19/2023,"59,114327, -118.570340",40,10/2/2024,,,,,,Subsampled (2024-09-20),,
1483,NAB-1483-ru,Rumen,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/20/2023,"59,105382, -118.868543",42,11/7/2024,,,,,,Subsampled (2024-09-20),,
1484,NAB-1484-ru,Rumen,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,12/20/2023,"59,046684, -118.898334",43 Hay Zama hunt ID BISO23034,11/7/2024,,,,,,Subsampled (2024-09-20),,
1485,NAB-1485-ru,Rumen,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,1/25/2024,"59,005925, -118.932073",44 Hay Zama hunt ID BISO23034,11/7/2024,,,,,,Subsampled (2024-09-20),,
1486,NAB-1486-ru,Rumen,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,1/27/2024,"59,209613, -118.677580",46,11/7/2024,,,,,,Subsampled (2024-09-20),,
1487,NAB-1487-ru,Rumen,Taylor Dickinson,9/10/2024,Frozen,,,,Hay Zama,AB Government,,1/27/2024,"59,237451, -118.630334",47 Hay Zama hunt ID BISO23026,11/7/2024,,,,,,Subsampled (2024-09-20),,
1414,NBC-1414-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 1A,10/4/2024,,,,,,Subsampled (2024-08-21),,
1415,NBC-1415-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 1B,10/30/2024,,,,,,Subsampled (2024-08-21),,
1416,NBC-1416-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 2A,10/4/2024,,,,,,Subsampled (2024-08-21),,
1417,NBC-1417-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 2B,10/4/2024,,,,,,Subsampled (2024-08-21),,
1418,NBC-1418-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 3A,10/4/2024,,,,,,Subsampled (2024-08-21),,
1419,NBC-1419-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 3B,10/4/2024,,,,,,Subsampled (2024-08-21),,
1420,NBC-1420-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 3C,10/4/2024,,,,,,Subsampled (2024-08-22),,
1421,NBC-1421-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 4A,10/4/2024,,,,,,Subsampled (2024-08-21),,
1422,NBC-1422-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 4B,10/4/2024,,,,,,Subsampled (2024-08-21),,
1423,NBC-1423-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 5A,10/4/2024,,,,,,Subsampled (2024-08-21),,
1424,NBC-1424-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Bulls?,Unknown,Nahanni,BC Government,Wood,11/14/2023,"58.896184, -123.171082",Sample 5B,10/4/2024,,,,,,Subsampled (2024-08-21),,
1425,NBC-1425-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N1-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1426,NBC-1426-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N2-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1427,NBC-1427-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N3-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1428,NBC-1428-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N4-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1429,NBC-1429-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N5-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1430,NBC-1430-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N6-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
